team,game_1,game_2,game_3,game_4,game_5,game_6,average_distance_travelled_per_away_game,total_distance_travelled
Manchester City,606,1018,449,0,0,0,691,2073
Paris Saint-Germain,606,767,269,0,0,0,547,1642
RB Leipzig,1018,767,637,0,0,0,807,2422
Club Brugge,449,269,637,0,0,0,452,1355
Liverpool,1446,1426,1245,0,0,0,1372,4117
Atlético de Madrid,1446,421,1188,0,0,0,1018,3055
FC Porto,1426,421,1514,0,0,0,1120,3361
AC Milan,1245,1188,1514,0,0,0,1316,3947
Ajax,1863,200,2212,0,0,0,1425,4275
Sporting CP,1863,1920,3237,0,0,0,2340,7020
Borussia Dortmund,200,1920,2012,0,0,0,1377,4132
Beşiktaş,2212,3237,2012,0,0,0,2487,7461
Real Madrid,1188,2763,2863,0,0,0,2271,6814
Inter,1188,1587,1676,0,0,0,1484,4451
Sheriff,2763,1587,405,0,0,0,1585,4755
Shakhtar Donetsk (2021/22),2863,1676,405,0,0,0,1648,4944
Bayern,1964,1055,1394,0,0,0,1471,4413
Benfica,1964,1006,3352,0,0,0,2107,6322
Barcelona,1055,1006,2394,0,0,0,1485,4455
Dynamo Kyiv,1394,3352,2394,0,0,0,2380,7140
Manchester United,1511,1216,1000,0,0,0,1242,3727
Villarreal,1511,1019,986,0,0,0,1172,3516
Atalanta,1216,1019,220,0,0,0,818,2455
Young Boys,1000,986,220,0,0,0,735,2206
Lille,789,1637,570,0,0,0,999,2996
Salzburg,789,1932,538,0,0,0,1086,3259
Sevilla,1637,1932,2120,0,0,0,1896,5689
VfL Wolfsburg,570,538,2120,0,0,0,1076,3228
Juventus,919,2232,1232,0,0,0,1461,4383
Chelsea,919,2100,983,0,0,0,1334,4002
Zenit,2232,2100,1126,0,0,0,1819,5458
Malmö FF,1232,983,1126,0,0,0,1114,3341
