team,game_1,game_2,game_3,game_4,game_5,game_6,average_distance_travelled_per_away_game,total_distance_travelled
Bayern,841,1584,1136,0,0,0,1187,3561
Copenhagen,841,2022,983,0,0,0,1282,3846
Galatasaray,1584,2022,2703,0,0,0,2103,6309
Manchester United,1136,983,2703,0,0,0,1607,4822
Arsenal,388,239,1636,0,0,0,754,2263
PSV,388,217,1803,0,0,0,803,2408
Lens,239,217,1610,0,0,0,689,2066
Sevilla,1636,1803,1610,0,0,0,1683,5049
Real Madrid,1515,417,1869,0,0,0,1267,3801
Napoli,1515,1896,1299,0,0,0,1570,4710
Braga,417,1896,2044,0,0,0,1452,4357
Union Berlin,1869,1299,2044,0,0,0,1737,5212
Real Sociedad,918,788,1269,0,0,0,992,2975
Inter,918,1683,393,0,0,0,998,2994
Benfica,788,1683,2050,0,0,0,1507,4521
Salzburg,1269,393,2050,0,0,0,1237,3712
Atlético de Madrid,1364,1424,1718,0,0,0,1502,4506
Lazio,1364,1268,1966,0,0,0,1533,4598
Feyenoord,1424,1268,720,0,0,0,1137,3412
Celtic,1718,1966,720,0,0,0,1468,4404
Borussia Dortmund,469,684,718,0,0,0,624,1871
Paris Saint-Germain,469,640,736,0,0,0,615,1845
AC Milan,684,640,1307,0,0,0,877,2631
Newcastle,718,736,1307,0,0,0,920,2761
Manchester City,1018,1000,1901,0,0,0,1306,3919
RB Leipzig,1018,606,942,0,0,0,855,2566
Young Boys,1000,606,1034,0,0,0,880,2640
Crvena zvezda,1901,942,1034,0,0,0,1292,3877
Barcelona,901,1473,1107,0,0,0,1160,3481
FC Porto,901,1955,1498,0,0,0,1451,4354
Shakhtar Donetsk (2023/24),1473,1955,459,0,0,0,1296,3887
Antwerp,1107,1498,459,0,0,0,1021,3064
