home_team,home_team_city,away_team,away_team_city,double_legged_status,distance
AZ Alkmaar,Alkmaar,Arsenal,London,,355.5036270400442
AZ Alkmaar,Alkmaar,Salzburg,Salzburg,,796.8538475534185
AZ Alkmaar,Alkmaar,Monaco,Monaco,,1008.4123200641436
Braga,Braga,Roma,Rome,,1731.9468138684865
Braga,Braga,West Ham,London,,1276.3190338180764
Braga,Braga,Crvena zvezda,Belgrade,,2356.370475133096
Braga,Braga,Čukarički,Belgrade,,2356.370475133096
Lyon,Lyon,Barcelona,Barcelona,,531.9745580496988
Lyon,Lyon,Eintracht Frankfurt,Frankfurt,,561.7211071028921
Lyon,Lyon,Braga,Braga,,1163.5742219865492
Lyon,Lyon,Lugano,Lugano,,319.6273501964283
Crvena zvezda,Belgrade,Sevilla,Seville,,2350.1634698484354
Crvena zvezda,Belgrade,Feyenoord,Rotterdam,,1417.175076204113
Crvena zvezda,Belgrade,Lyon,Lyon,,1224.559410551623
Crvena zvezda,Belgrade,Nice,Nice,,1055.9681027483844
Ferencváros,Budapest,Real Madrid,Madrid,,1974.140666282955
Ferencváros,Budapest,Atlético de Madrid,Madrid,,1974.140666282955
Ferencváros,Budapest,Club Brugge,Bruges,,1214.6738949371681
Ferencváros,Budapest,Galatasaray,Istanbul,,1069.5372962171973
Celtic,Glasgow,Paris Saint-Germain,Paris,,898.1194935503929
Celtic,Glasgow,Juventus,Turin,,1463.4142652718322
Celtic,Glasgow,Tottenham Hotspur,London,,555.2197900635533
Celtic,Glasgow,Ferencváros,Budapest,,1842.7719293847301
Galatasaray,Istanbul,Liverpool,Liverpool,,2747.4981489102456
Galatasaray,Istanbul,Villarreal,Villarreal,,2451.3061469098593
Galatasaray,Istanbul,AC Milan,Milan,,1672.8732360983922
Galatasaray,Istanbul,Celtic,Glasgow,,2912.3072603287283
Dynamo Kyiv,Bucharest,Inter,Milan,,1333.5446619540085
Dynamo Kyiv,Bucharest,Bayer 04 Leverkusen,Leverkusen,,1598.9763153938059
Dynamo Kyiv,Bucharest,PSV,Eindhoven,,1715.5815082405084
Dynamo Kyiv,Bucharest,Mönchengladbach,Mönchengladbach,,1642.1568798095454
Monaco,Monaco,RB Leipzig,Leipzig,,922.7221690174921
Monaco,Monaco,FC Porto,Porto,,1345.7810046261704
Monaco,Monaco,Salzburg,Salzburg,,628.6494505256056
Monaco,Monaco,Dynamo Kyiv,Bucharest,,1490.6262015365394
Mönchengladbach,Mönchengladbach,Manchester United,Manchester,,642.9326975039281
Mönchengladbach,Mönchengladbach,Arsenal,London,,457.00348605247854
Mönchengladbach,Mönchengladbach,AZ Alkmaar,Alkmaar,,198.7234476405279
Mönchengladbach,Mönchengladbach,Monaco,Monaco,,830.7880098479537
Nice,Nice,Roma,Rome,,471.8235839488202
Nice,Nice,West Ham,London,,1027.5472273763016
Nice,Nice,Braga,Braga,,1303.4160383632413
Nice,Nice,Lugano,Lugano,,287.67017419609135
Čukarički,Belgrade,Barcelona,Barcelona,,1527.9501024862345
Čukarički,Belgrade,Eintracht Frankfurt,Frankfurt,,1062.6999183590276
Čukarički,Belgrade,Lyon,Lyon,,1224.559410551623
Čukarički,Belgrade,Nice,Nice,,1055.9681027483844
Lugano,Lugano,Sevilla,Seville,,1562.466277420737
Lugano,Lugano,Feyenoord,Rotterdam,,734.3234978683649
