home_team,home_team_city,away_team,away_team_city,double_legged_status
Monaco,Monaco,FC Porto,Porto,
Monaco,Monaco,Salzburg,Salzburg,
Monaco,Monaco,Dynamo Kyiv,Bucharest,
Mönchengladbach,Mönchengladbach,Manchester United,Manchester,
Mönchengladbach,Mönchengladbach,Arsenal,London,
Mönchengladbach,Mönchengladbach,AZ Alkmaar,Alkmaar,
Mönchengladbach,Mönchengladbach,Monaco,Monaco,
Nice,Nice,Roma,Rome,
Nice,Nice,West Ham,London,
Nice,Nice,Braga,Braga,
Nice,Nice,Lugano,Lugano,
Čukarički,Belgrade,Barcelona,Barcelona,
Čukarički,Belgrade,Eintracht Frankfurt,Frankfurt,
Čukarički,Belgrade,Lyon,Lyon,
Čukarički,Belgrade,Nice,Nice,
Lugano,Lugano,Sevilla,Seville,
Lugano,Lugano,Feyenoord,Rotterdam,
Lugano,Lugano,Crvena zvezda,Belgrade,
Lugano,Lugano,Čukarički,Belgrade,
Lyon,Lyon,Barcelona,Barcelona,1
Tottenham Hotspur,London,Monaco,Monaco,1
Liverpool,Liverpool,Inter,Milan,1
RB Leipzig,Leipzig,Eintracht Frankfurt,Frankfurt,1
Braga,Braga,Salzburg,Salzburg,1
Club Brugge,Bruges,Galatasaray,Istanbul,1
AC Milan,Milan,Dynamo Kyiv,Bucharest,1
Roma,Rome,Manchester United,Manchester,1
