replicate,match,home_team,home_team_coefficient,home_team_city,home_team_association,away_team,away_team_coefficient,away_team_city,away_team_association,distance
1,68,Eintracht Frankfurt,57.0,Frankfurt,GER,Bodø/Glimt,24.5,Bodø,NOR,1935.0
1,69,Feyenoord,57.0,Rotterdam,NED,Bayer 04 Leverkusen,67.0,Leverkusen,GER,199.0
1,70,Feyenoord,57.0,Rotterdam,NED,LASK,34.0,Linz,AUT,805.0
1,71,Feyenoord,57.0,Rotterdam,NED,Sevilla,84.0,Seville,ESP,1811.0
1,72,Feyenoord,57.0,Rotterdam,NED,Qarabağ,26.0,Baku,AZE,3657.0
1,73,Rangers,52.0,Glasgow,SCO,Linfield,10.0,Belfast,NIR,176.0
1,74,Rangers,52.0,Glasgow,SCO,Liverpool,100.0,Liverpool,ENG,284.0
1,75,Rangers,52.0,Glasgow,SCO,AZ Alkmaar,48.0,Alkmaar,NED,686.0
1,76,Rangers,52.0,Glasgow,SCO,Feyenoord,57.0,Rotterdam,NED,720.0
1,77,Braga,48.0,Braga,POR,Real Betis,31.0,Seville,ESP,508.0
1,78,Braga,48.0,Braga,POR,Sevilla,84.0,Seville,ESP,508.0
1,79,Braga,48.0,Braga,POR,Barcelona,78.0,Barcelona,ESP,884.0
1,80,Braga,48.0,Braga,POR,Rennes,37.0,Rennes,FRA,904.0
1,81,AZ Alkmaar,48.0,Alkmaar,NED,Genk,13.0,Genk,BEL,193.0
1,82,AZ Alkmaar,48.0,Alkmaar,NED,Borussia Dortmund,75.0,Dortmund,GER,223.0
1,83,AZ Alkmaar,48.0,Alkmaar,NED,Chelsea,96.0,London,ENG,357.0
1,84,AZ Alkmaar,48.0,Alkmaar,NED,Slavia Praha,42.0,Prague,CZE,729.0
1,85,PSV,43.0,Eindhoven,NED,Bayer 04 Leverkusen,67.0,Leverkusen,GER,115.0
1,86,PSV,43.0,Eindhoven,NED,Lens,11.266,Lens,FRA,217.0
1,87,PSV,43.0,Eindhoven,NED,Manchester City,130.0,Manchester,ENG,569.0
1,88,PSV,43.0,Eindhoven,NED,LASK,34.0,Linz,AUT,720.0
1,89,Slavia Praha,42.0,Prague,CZE,Bayern,126.0,Munich,GER,300.0
1,90,Slavia Praha,42.0,Prague,CZE,Young Boys,32.5,Bern,SUI,621.0
1,91,Slavia Praha,42.0,Prague,CZE,PSV,43.0,Eindhoven,NED,648.0
1,92,Slavia Praha,42.0,Prague,CZE,Juventus,80.0,Turin,ITA,752.0
1,93,Crvena zvezda,40.0,Belgrade,SRB,Fiorentina,24.0,Florence,ITA,740.0
1,94,Crvena zvezda,40.0,Belgrade,SRB,Inter,90.0,Milan,ITA,886.0
1,95,Crvena zvezda,40.0,Belgrade,SRB,Eintracht Frankfurt,57.0,Frankfurt,GER,1063.0
1,96,Crvena zvezda,40.0,Belgrade,SRB,Marseille,34.0,Marseille,FRA,1215.0
1,97,Rennes,37.0,Rennes,FRA,Arsenal,58.0,London,ENG,393.0
1,98,Rennes,37.0,Rennes,FRA,Real Madrid,112.0,Madrid,ESP,871.0
1,99,Rennes,37.0,Rennes,FRA,Rangers,52.0,Glasgow,SCO,879.0
1,100,Rennes,37.0,Rennes,FRA,Aberdeen,7.5,Aberdeen,SCO,1005.0
1,101,LASK,34.0,Linz,AUT,Crvena zvezda,40.0,Belgrade,SRB,613.0
1,102,LASK,34.0,Linz,AUT,Roma,86.0,Rome,ITA,726.0
1,103,LASK,34.0,Linz,AUT,Napoli,71.0,Naples,ITA,829.0
1,104,LASK,34.0,Linz,AUT,Bodø/Glimt,24.5,Bodø,NOR,2110.0
1,105,Marseille,34.0,Marseille,FRA,Villarreal,68.0,Villarreal,ESP,586.0
1,106,Marseille,34.0,Marseille,FRA,Braga,48.0,Braga,POR,1149.0
1,107,Marseille,34.0,Marseille,FRA,Manchester United,91.0,Manchester,ENG,1263.0
1,108,Marseille,34.0,Marseille,FRA,Qarabağ,26.0,Baku,AZE,3659.0
1,109,Young Boys,32.5,Bern,SUI,Bayern,126.0,Munich,GER,337.0
1,110,Young Boys,32.5,Bern,SUI,Eintracht Frankfurt,57.0,Frankfurt,GER,363.0
1,111,Young Boys,32.5,Bern,SUI,Marseille,34.0,Marseille,FRA,437.0
1,112,Young Boys,32.5,Bern,SUI,Fiorentina,24.0,Florence,ITA,462.0
1,113,Real Betis,31.0,Seville,ESP,Rennes,37.0,Rennes,FRA,1243.0
1,114,Real Betis,31.0,Seville,ESP,Juventus,80.0,Turin,ITA,1424.0
1,115,Real Betis,31.0,Seville,ESP,Young Boys,32.5,Bern,SUI,1531.0
1,116,Real Betis,31.0,Seville,ESP,Inter,90.0,Milan,ITA,1547.0
1,117,Qarabağ,26.0,Baku,AZE,Crvena zvezda,40.0,Belgrade,SRB,2446.0
1,118,Qarabağ,26.0,Baku,AZE,Napoli,71.0,Naples,ITA,2986.0
1,119,Qarabağ,26.0,Baku,AZE,Roma,86.0,Rome,ITA,3111.0
1,120,Qarabağ,26.0,Baku,AZE,Genk,13.0,Genk,BEL,3581.0
1,121,Bodø/Glimt,24.5,Bodø,NOR,Aberdeen,7.5,Aberdeen,SCO,1405.0
1,122,Bodø/Glimt,24.5,Bodø,NOR,Rangers,52.0,Glasgow,SCO,1595.0
1,123,Bodø/Glimt,24.5,Bodø,NOR,Manchester City,130.0,Manchester,ENG,1773.0
1,124,Bodø/Glimt,24.5,Bodø,NOR,Feyenoord,57.0,Rotterdam,NED,1791.0
1,125,Fiorentina,24.0,Florence,ITA,LASK,34.0,Linz,AUT,556.0
1,126,Fiorentina,24.0,Florence,ITA,Bayer 04 Leverkusen,67.0,Leverkusen,GER,871.0
1,127,Fiorentina,24.0,Florence,ITA,Lens,11.266,Lens,FRA,976.0
1,128,Fiorentina,24.0,Florence,ITA,Chelsea,96.0,London,ENG,1209.0
1,129,Genk,13.0,Genk,BEL,PSV,43.0,Eindhoven,NED,53.0
1,130,Genk,13.0,Genk,BEL,Arsenal,58.0,London,ENG,398.0
1,131,Genk,13.0,Genk,BEL,Manchester United,91.0,Manchester,ENG,598.0
1,132,Genk,13.0,Genk,BEL,Linfield,10.0,Belfast,NIR,868.0
1,133,Lens,11.266,Lens,FRA,AZ Alkmaar,48.0,Alkmaar,NED,279.0
1,134,Lens,11.266,Lens,FRA,Borussia Dortmund,75.0,Dortmund,GER,347.0
1,135,Lens,11.266,Lens,FRA,Liverpool,100.0,Liverpool,ENG,519.0
1,136,Lens,11.266,Lens,FRA,Real Betis,31.0,Seville,ESP,1610.0
