match,home_team,home_team_coefficient,home_team_city,home_team_association,away_team,away_team_coefficient,away_team_city,away_team_association
77,Young Boys,32.5,Bern,SUI,Salzburg,49.0,Salzburg,AUT
78,Young Boys,32.5,Bern,SUI,Fenerbahçe,28.0,Istanbul,TUR
79,Real Betis,31.0,Seville,ESP,Manchester City,130.0,Manchester,ENG
80,Real Betis,31.0,Seville,ESP,Shakhtar Donetsk,59.0,Hamburg,UKR
81,Real Betis,31.0,Seville,ESP,Ferencváros,30.0,Budapest,HUN
82,Ferencváros,30.0,Budapest,HUN,Paris Saint-Germain,101.0,Paris,FRA
83,Ferencváros,30.0,Budapest,HUN,Arsenal,58.0,London,ENG
84,Ferencváros,30.0,Budapest,HUN,Union Berlin,21.0,Berlin,GER
85,Fenerbahçe,28.0,Istanbul,TUR,Juventus,80.0,Turin,ITA
86,Fenerbahçe,28.0,Istanbul,TUR,Lille,35.0,Lille,FRA
87,Fenerbahçe,28.0,Istanbul,TUR,Fiorentina,24.0,Florence,ITA
88,Fiorentina,24.0,Florence,ITA,Atlético de Madrid,73.0,Madrid,ESP
89,Fiorentina,24.0,Florence,ITA,Bayer 04 Leverkusen,67.0,Leverkusen,GER
90,Fiorentina,24.0,Florence,ITA,Real Betis,31.0,Seville,ESP
91,Monaco,24.0,Monaco,FRA,Barcelona,78.0,Barcelona,ESP
92,Monaco,24.0,Monaco,FRA,Rangers,52.0,Glasgow,SCO
93,Monaco,24.0,Monaco,FRA,SC Freiburg,19.0,Freiburg,GER
94,Union SG,22.0,Brussels,BEL,Benfica,69.0,Lisbon,POR
95,Union SG,22.0,Brussels,BEL,Lazio,43.0,Rome,ITA
96,Union SG,22.0,Brussels,BEL,Adana Demirspor,7.07,Adana,TUR
97,Union Berlin,21.0,Berlin,GER,Chelsea,96.0,London,ENG
98,Union Berlin,21.0,Berlin,GER,Crvena zvezda,40.0,Belgrade,SRB
99,Union Berlin,21.0,Berlin,GER,LASK,34.0,Linz,AUT
100,SC Freiburg,19.0,Freiburg,GER,Villarreal,68.0,Villarreal,ESP
101,SC Freiburg,19.0,Freiburg,GER,Feyenoord,57.0,Rotterdam,NED
102,SC Freiburg,19.0,Freiburg,GER,Young Boys,32.5,Bern,SUI
103,Flora Tallinn,11.0,Tallinn,EST,Bayern,126.0,Munich,GER
104,Flora Tallinn,11.0,Tallinn,EST,Tottenham Hotspur,54.0,London,ENG
105,Flora Tallinn,11.0,Tallinn,EST,Union SG,22.0,Brussels,BEL
106,Adana Demirspor,7.07,Adana,TUR,Liverpool,100.0,Liverpool,ENG
107,Adana Demirspor,7.07,Adana,TUR,Marseille,34.0,Marseille,FRA
108,Adana Demirspor,7.07,Adana,TUR,Monaco,24.0,Monaco,FRA
