home_team,home_team_city,away_team,away_team_city,double_legged_status
Monaco,Monaco,Real Madrid,Madrid,
Monaco,Monaco,Villarreal,Villarreal,
Monaco,Monaco,Rangers,Glasgow,
Monaco,Monaco,Ferencváros,Budapest,
Union Berlin,Berlin,Barcelona,Barcelona,
Union Berlin,Berlin,West Ham,London,
Union Berlin,Berlin,Sporting CP,Lisbon,
Union Berlin,Berlin,Lille,Lille,
Brighton,Brighton,Paris Saint-Germain,Paris,
Brighton,Brighton,Bayer 04 Leverkusen,Leverkusen,
Brighton,Brighton,Salzburg,Salzburg,
Brighton,Brighton,Rennes,Rennes,
Dinamo Tbilisi,Tbilisi,Liverpool,Liverpool,
Dinamo Tbilisi,Tbilisi,Shakhtar Donetsk,Hamburg,
Dinamo Tbilisi,Tbilisi,Copenhagen,Copenhagen,
Dinamo Tbilisi,Tbilisi,Brighton,Brighton,
Rennes,Rennes,Inter,Milan,1
Manchester United,Manchester,Olympiacos,Piraeus,1
PSV,Eindhoven,Atalanta,Bergamo,1
Lazio,Rome,Crvena zvezda,Belgrade,1
Copenhagen,Copenhagen,Villarreal,Villarreal,1
Roma,Rome,Arsenal,London,1
Salzburg,Salzburg,Lyon,Lyon,1
Real Madrid,Madrid,West Ham,London,1
