replicate,match,home_team,home_team_coefficient,home_team_city,home_team_association,away_team,away_team_coefficient,away_team_city,away_team_association,distance
1,69,PSV,43.0,Eindhoven,NED,Hearts,6.53,Edinburgh,SCO,758.0
1,70,PSV,43.0,Eindhoven,NED,Inter,90.0,Milan,ITA,719.0
1,71,PSV,43.0,Eindhoven,NED,Slovan Bratislava,26.5,Bratislava,SVK,911.0
1,72,PSV,43.0,Eindhoven,NED,Braga,48.0,Braga,POR,1527.0
1,73,Real Sociedad,42.0,San Sebastián,ESP,Braga,48.0,Braga,POR,566.0
1,74,Real Sociedad,42.0,San Sebastián,ESP,Slavia Praha,42.0,Prague,CZE,1455.0
1,75,Real Sociedad,42.0,San Sebastián,ESP,Nice,17.0,Nice,FRA,746.0
1,76,Real Sociedad,42.0,San Sebastián,ESP,Inter,90.0,Milan,ITA,918.0
1,77,Slavia Praha,42.0,Prague,CZE,LASK,34.0,Linz,AUT,197.0
1,78,Slavia Praha,42.0,Prague,CZE,RB Leipzig,87.0,Leipzig,GER,202.0
1,79,Slavia Praha,42.0,Prague,CZE,Maribor,9.5,Maribor,SVN,402.0
1,80,Slavia Praha,42.0,Prague,CZE,Atalanta,58.0,Bergamo,ITA,602.0
1,81,Crvena zvezda,40.0,Belgrade,SRB,Monaco,24.0,Monaco,FRA,1043.0
1,82,Crvena zvezda,40.0,Belgrade,SRB,Real Madrid,112.0,Madrid,ESP,2027.0
1,83,Crvena zvezda,40.0,Belgrade,SRB,Rijeka,12.0,Rijeka,CRO,476.0
1,84,Crvena zvezda,40.0,Belgrade,SRB,Salzburg,49.0,Salzburg,AUT,660.0
1,85,LASK,34.0,Linz,AUT,Viktoria Plzeň,17.0,Plzeň,CZE,184.0
1,86,LASK,34.0,Linz,AUT,Roma,86.0,Rome,ITA,726.0
1,87,LASK,34.0,Linz,AUT,Slovan Bratislava,26.5,Bratislava,SVK,210.0
1,88,LASK,34.0,Linz,AUT,Lyon,44.0,Lyon,FRA,769.0
1,89,Slovan Bratislava,26.5,Bratislava,SVK,Chelsea,96.0,London,ENG,1288.0
1,90,Slovan Bratislava,26.5,Bratislava,SVK,Crvena zvezda,40.0,Belgrade,SRB,453.0
1,91,Slovan Bratislava,26.5,Bratislava,SVK,Eintracht Frankfurt,57.0,Frankfurt,GER,650.0
1,92,Slovan Bratislava,26.5,Bratislava,SVK,Luzern,6.155,Luzern,SUI,671.0
1,93,Fiorentina,24.0,Florence,ITA,Bayern,126.0,Munich,GER,486.0
1,94,Fiorentina,24.0,Florence,ITA,SC Freiburg,19.0,Freiburg,GER,539.0
1,95,Fiorentina,24.0,Florence,ITA,Osasuna,15.922,Pamplona,ESP,1048.0
1,96,Fiorentina,24.0,Florence,ITA,Tottenham Hotspur,54.0,London,ENG,1209.0
1,97,Monaco,24.0,Monaco,FRA,Fiorentina,24.0,Florence,ITA,309.0
1,98,Monaco,24.0,Monaco,FRA,Villarreal,68.0,Villarreal,ESP,750.0
1,99,Monaco,24.0,Monaco,FRA,Genk,13.0,Genk,BEL,816.0
1,100,Monaco,24.0,Monaco,FRA,West Ham,54.0,London,ENG,1031.0
1,101,SC Freiburg,19.0,Freiburg,GER,Brighton,18.635,Brighton,ENG,659.0
1,102,SC Freiburg,19.0,Freiburg,GER,AC Milan,49.0,Milan,ITA,300.0
1,103,SC Freiburg,19.0,Freiburg,GER,Twente,11.42,Enschede,NED,475.0
1,104,SC Freiburg,19.0,Freiburg,GER,Arsenal,58.0,London,ENG,693.0
1,105,Brighton,18.635,Brighton,ENG,PSV,43.0,Eindhoven,NED,400.0
1,106,Brighton,18.635,Brighton,ENG,Hearts,6.53,Edinburgh,SCO,604.0
1,107,Brighton,18.635,Brighton,ENG,Real Sociedad,42.0,San Sebastián,ESP,845.0
1,108,Brighton,18.635,Brighton,ENG,Barcelona,78.0,Barcelona,ESP,1065.0
1,109,Nice,17.0,Nice,FRA,Inter,90.0,Milan,ITA,247.0
1,110,Nice,17.0,Nice,FRA,SC Freiburg,19.0,Freiburg,GER,479.0
1,111,Nice,17.0,Nice,FRA,Atalanta,58.0,Bergamo,ITA,292.0
1,112,Nice,17.0,Nice,FRA,Luzern,6.155,Luzern,SUI,380.0
