replicate,match,home_team,home_team_coefficient,home_team_city,home_team_association,away_team,away_team_coefficient,away_team_city,away_team_association,distance
1,68,Arsenal,58.0,London,ENG,Atlético de Madrid,73.0,Madrid,ESP,1263.0
1,69,Feyenoord,57.0,Rotterdam,NED,Lugano,8.0,Lugano,SUI,734.0
1,70,Feyenoord,57.0,Rotterdam,NED,Chelsea,96.0,London,ENG,321.0
1,71,Feyenoord,57.0,Rotterdam,NED,Braga,48.0,Braga,POR,1513.0
1,72,Feyenoord,57.0,Rotterdam,NED,Barcelona,78.0,Barcelona,ESP,1185.0
1,73,Rangers,52.0,Glasgow,SCO,Mönchengladbach,21.0,Mönchengladbach,GER,863.0
1,74,Rangers,52.0,Glasgow,SCO,Lille,35.0,Lille,FRA,757.0
1,75,Rangers,52.0,Glasgow,SCO,Manchester United,91.0,Manchester,ENG,294.0
1,76,Rangers,52.0,Glasgow,SCO,Shakhtar Donetsk,59.0,Hamburg,UKR,949.0
1,77,Salzburg,49.0,Salzburg,AUT,Monaco,24.0,Monaco,FRA,629.0
1,78,Salzburg,49.0,Salzburg,AUT,Antwerp,21.0,Antwerp,BEL,729.0
1,79,Salzburg,49.0,Salzburg,AUT,Chelsea,96.0,London,ENG,1032.0
1,80,Salzburg,49.0,Salzburg,AUT,Arsenal,58.0,London,ENG,1032.0
1,81,Braga,48.0,Braga,POR,Napoli,71.0,Naples,ITA,1896.0
1,82,Braga,48.0,Braga,POR,Atlético de Madrid,73.0,Madrid,ESP,417.0
1,83,Braga,48.0,Braga,POR,Rangers,52.0,Glasgow,SCO,1621.0
1,84,Braga,48.0,Braga,POR,Brighton,18.635,Brighton,ENG,1211.0
1,85,Lyon,44.0,Lyon,FRA,Borussia Dortmund,75.0,Dortmund,GER,668.0
1,86,Lyon,44.0,Lyon,FRA,Salzburg,49.0,Salzburg,AUT,665.0
1,87,Lyon,44.0,Lyon,FRA,Liverpool,100.0,Liverpool,ENG,1019.0
1,88,Lyon,44.0,Lyon,FRA,Lugano,8.0,Lugano,SUI,320.0
1,89,PSV,43.0,Eindhoven,NED,Bayern,126.0,Munich,GER,572.0
1,90,PSV,43.0,Eindhoven,NED,Crvena zvezda,40.0,Belgrade,SRB,1332.0
1,91,PSV,43.0,Eindhoven,NED,Union Berlin,21.0,Berlin,GER,556.0
1,92,PSV,43.0,Eindhoven,NED,FC Porto,66.0,Porto,POR,1570.0
1,93,Lazio,43.0,Rome,ITA,Paris Saint-Germain,101.0,Paris,FRA,1105.0
1,94,Lazio,43.0,Rome,ITA,Osasuna,15.922,Pamplona,ESP,1165.0
1,95,Lazio,43.0,Rome,ITA,Barcelona,78.0,Barcelona,ESP,859.0
1,96,Lazio,43.0,Rome,ITA,PSV,43.0,Eindhoven,NED,1187.0
1,97,Crvena zvezda,40.0,Belgrade,SRB,Feyenoord,57.0,Rotterdam,NED,1417.0
1,98,Crvena zvezda,40.0,Belgrade,SRB,Lyon,44.0,Lyon,FRA,1225.0
1,99,Crvena zvezda,40.0,Belgrade,SRB,AEK Athens,10.0,Athens,GRE,804.0
1,100,Crvena zvezda,40.0,Belgrade,SRB,Sevilla,84.0,Seville,ESP,2350.0
1,101,Lille,35.0,Lille,FRA,Juventus,80.0,Turin,ITA,708.0
1,102,Lille,35.0,Lille,FRA,Lazio,43.0,Rome,ITA,1209.0
1,103,Lille,35.0,Lille,FRA,Villarreal,68.0,Villarreal,ESP,1211.0
1,104,Lille,35.0,Lille,FRA,HJK,10.0,Helsinki,FIN,1728.0
1,105,Monaco,24.0,Monaco,FRA,Inter,90.0,Milan,ITA,238.0
1,106,Monaco,24.0,Monaco,FRA,Ajax,64.0,Amsterdam,NED,977.0
1,107,Monaco,24.0,Monaco,FRA,Braga,48.0,Braga,POR,1318.0
1,108,Monaco,24.0,Monaco,FRA,Riga,11.0,Riga,LAT,1877.0
1,109,Antwerp,21.0,Antwerp,BEL,Arsenal,58.0,London,ENG,316.0
1,110,Antwerp,21.0,Antwerp,BEL,Chelsea,96.0,London,ENG,316.0
1,111,Antwerp,21.0,Antwerp,BEL,Rangers,52.0,Glasgow,SCO,769.0
1,112,Antwerp,21.0,Antwerp,BEL,Brighton,18.635,Brighton,ENG,323.0
1,113,Mönchengladbach,21.0,Mönchengladbach,GER,PSV,43.0,Eindhoven,NED,58.0
1,114,Mönchengladbach,21.0,Mönchengladbach,GER,Feyenoord,57.0,Rotterdam,NED,144.0
1,115,Mönchengladbach,21.0,Mönchengladbach,GER,Antwerp,21.0,Antwerp,BEL,124.0
1,116,Mönchengladbach,21.0,Mönchengladbach,GER,Inter,90.0,Milan,ITA,673.0
1,117,Union Berlin,21.0,Berlin,GER,Liverpool,100.0,Liverpool,ENG,1101.0
