rank,team_name,association,uefa_coefficient,city
1,Dynamo Kyiv,UKR,26.5,Bucharest
2,Shakhtar Donetsk,UKR,63.0,Hamburg
3,Zorya Luhansk,UKR,18.5,Lublin
4,Dnipro-1,UKR,10.5,Košice
