rank,team_name,association,uefa_coefficient,city
1,Lazio,ITA,43.0,Rome
2,Atalanta,ITA,58.0,Bergamo
3,Roma,ITA,86.0,Rome
4,Inter,ITA,90.0,Milan
5,Juventus,ITA,80.0,Turin
6,Torino,ITA,15.171,Turin
7,Napoli,ITA,71.0,Naples
8,AC Milan,ITA,49.0,Milan
9,Fiorentina,ITA,24.0,Florence
