rank,team_name,association,uefa_coefficient,city
1Borussia Dortmund,GER,75.0,Dortmund
2,Mönchengladbach,GER,21.0,Mönchengladbach
3,Bayer 04 Leverkusen,GER,67.0,Leverkusen
4,RB Leipzig,GER,87.0,Leipzig
5,Bayern,GER,126.0,Munich
6,Eintracht Frankfurt,GER,57.0,Frankfurt
7,SC Freiburg,GER,19.0,Freiburg
8,VfL Wolfsburg,GER,22.5,Wolfsburg
9,Union Berlin,GER,21.0,Berlin
