rank,team_name,association,uefa_coefficient,city
1,Galatasaray,TUR,30.5,Istanbul
2,Adana Demirspor,TUR,7.07,Adana
3,Fenerbahçe,TUR,28.0,Istanbul
4,Beşiktaş,TUR,10.0,Istanbul
