rank,team_name,association,uefa_coefficient,city
1,Rangers,SCO,52.0,Glasgow
2,Celtic,SCO,30.0,Glasgow
3,Hearts,SCO,6.53,Edinburgh
4,Aberdeen,SCO,7.5,Aberdeen
