rank,team_name,association,uefa_coefficient,city
1,Aston Villa,ENG,18.635,Birmingham
2,Arsenal,ENG,58.0,London
3,Liverpool,ENG,100.0,Liverpool
4,Tottenham Hotspur,ENG,54.0,London
5,Manchester United,ENG,91.0,Manchester
6,Chelsea,ENG,96.0,London
7,Manchester City,ENG,130.0,Manchester
8,Newcastle,ENG,18.635,Newcastle upon Tyne
9,West Ham,ENG,54.0,London
10,Brighton,ENG,18.635,Brighton
