rank,team_name,association,uefa_coefficient,city
1,Marseille,FRA,34.0,Marseille
2,Lille,FRA,35.0,Lille
3,Paris Saint-Germain,FRA,101.0,Paris
4,Rennes,FRA,37.0,Rennes
5,Lyon,FRA,44.0,Lyon
6,Nice,FRA,17.0,Nice
7,Monaco,FRA,24.0,Monaco
8,Lens,FRA,11.266,Lens
