rank,team_name,association,uefa_coefficient,city
1,Bohemians Praha 1905,CZE,6.91,Prague
2,Viktoria Plzeň,CZE,25.0,Plzeň
3,Slavia Praha,CZE,53.0,Prague
4,Sparta Praha,CZE,21.5,Prague
