rank,team_name,association,uefa_coefficient,city
1,Čukarički,SRB,5.555,Belgrade
2,Partizan,SRB,25.5,Belgrade
3,Crvena zvezda,SRB,40.0,Belgrade
4,TSC Bačka Topola,SRB,5.555,Bačka Topola
