team_name,association,city,uefa_coefficient,total_distance,mean_distance,median_distance
IF Elfsborg,SWE,Borås,4.3,227551,1487,1297.0
Aston Villa,ENG,Birmingham,18.635,228403,1493,1397.0
Ludogorets,BUL,Razgrad,19.0,229579,1501,1505.0
Petrocub,MDA,Hîncești,7.0,232370,1519,1498.0
FC Santa Coloma,AND,Santa Coloma,5.5,232735,1521,1339.0
Inter Club d'Escaldes,AND,Andorra la Vella,6.0,232979,1523,1337.0
Atlètic Club d'Escaldes,AND,Andorra la Vella,2.5,232979,1523,1337.0
Milsami,MDA,Orhei,5.0,233400,1525,1474.0
Manchester City,ENG,Manchester,130.0,236802,1548,1477.0
Manchester United,ENG,Manchester,91.0,236802,1548,1477.0
Panevezys,LTU,Panevėžys,4.0,237613,1553,1528.0
Barcelona,ESP,Barcelona,78.0,238887,1561,1389.0
The New Saints,WAL,Oswestry,8.5,239895,1568,1472.0
Dinamo Minsk,BLR,Minsk,4.5,239946,1568,1550.0
Penybont,WAL,Bridgend,1.158,240660,1573,1460.0
Connah's Quay,WAL,Connah's Quay,5.5,241260,1577,1490.0
Sheriff,MDA,Tiraspol,18.0,241448,1578,1541.0
Farul Constanța,ROM,Constanța,4.275,241748,1580,1537.0
Liverpool,ENG,Liverpool,100.0,241686,1580,1510.0
Newcastle,ENG,Newcastle upon Tyne,18.635,242184,1583,1528.0
Riga,LAT,Riga,11.0,245331,1603,1586.0
RFS,LAT,Riga,8.0,245331,1603,1586.0
Torpedo Zhodino,BLR,Zhodino,3.0,245756,1606,1603.0
BATE Borisov,BLR,Borisov,9.5,247474,1617,1617.0
Real Sociedad,ESP,San Sebastián,42.0,252093,1648,1446.0
Osasuna,ESP,Pamplona,15.922,253150,1655,1469.0
Hearts,SCO,Edinburgh,6.53,258794,1691,1647.0
Olympiacos,GRE,Piraeus,34.0,261192,1707,1730.0
Panathinaikos,GRE,Athens,5.225,261337,1708,1731.0
AEK Athens,GRE,Athens,10.0,261337,1708,1731.0
Aberdeen,SCO,Aberdeen,7.5,262623,1716,1635.0
Gżira,MLT,Gżira,7.0,264606,1729,1709.0
Birkirkara,MLT,Birkirkara,2.5,264702,1730,1711.0
Rangers,SCO,Glasgow,52.0,264993,1732,1685.0
Hamrun Spartans FC,MLT,Ħamrun,4.5,264930,1732,1708.0
Fenerbahçe,TUR,Istanbul,28.0,264950,1732,1711.0
Celtic,SCO,Glasgow,30.0,264993,1732,1685.0
Galatasaray,TUR,Istanbul,30.5,264950,1732,1711.0
Beşiktaş,TUR,Istanbul,10.0,264950,1732,1711.0
Shamrock Rovers,IRL,Dublin,9.5,266835,1744,1664.0
St Patrick's,IRL,Dublin,4.0,266835,1744,1664.0
Villarreal,ESP,Villarreal,68.0,267403,1748,1597.0
Linfield,NIR,Belfast,10.0,269256,1760,1724.0
Glentoran,NIR,Belfast,3.0,269256,1760,1724.0
Larne,NIR,Larne,4.5,269721,1763,1724.0
Flora Tallinn,EST,Tallinn,11.0,273190,1786,1771.0
Levadia,EST,Tallinn,6.0,273190,1786,1771.0
HJK,FIN,Helsinki,10.0,282081,1844,1814.0
Derry,IRL,Derry,4.0,282274,1845,1790.0
Atlético de Madrid,ESP,Madrid,73.0,289864,1895,1728.0
