match,home_team,home_team_coefficient,home_team_city,home_team_association,away_team,away_team_coefficient,away_team_city,away_team_association
76,Club Brugge,56.0,Bruges,BEL,Celtic,32.0,Glasgow,SCO
77,Tottenham Hotspur,54.0,London,ENG,Paris Saint-Germain,108.0,Paris,FRA
78,Tottenham Hotspur,54.0,London,ENG,Villarreal,80.0,Villarreal,ESP
79,Tottenham Hotspur,54.0,London,ENG,AZ Alkmaar,50.0,Alkmaar,NED
80,Tottenham Hotspur,54.0,London,ENG,Ferencváros,35.0,Budapest,HUN
81,AC Milan,53.0,Milan,ITA,Liverpool,107.0,Liverpool,ENG
82,AC Milan,53.0,Milan,ITA,Bayer 04 Leverkusen,78.0,Leverkusen,GER
83,AC Milan,53.0,Milan,ITA,Club Brugge,56.0,Bruges,BEL
84,AC Milan,53.0,Milan,ITA,Dynamo Kyiv,26.5,Bucharest,UKR
85,PSV,53.0,Eindhoven,NED,Inter,99.0,Milan,ITA
86,PSV,53.0,Eindhoven,NED,Atlético de Madrid,84.0,Madrid,ESP
87,PSV,53.0,Eindhoven,NED,AC Milan,53.0,Milan,ITA
88,PSV,53.0,Eindhoven,NED,Galatasaray,31.5,Istanbul,TUR
89,Salzburg,50.0,Salzburg,AUT,RB Leipzig,96.0,Leipzig,GER
90,Salzburg,50.0,Salzburg,AUT,FC Porto,75.0,Porto,POR
91,Salzburg,50.0,Salzburg,AUT,PSV,53.0,Eindhoven,NED
92,Salzburg,50.0,Salzburg,AUT,Mönchengladbach,21.0,Mönchengladbach,GER
93,AZ Alkmaar,50.0,Alkmaar,NED,Manchester United,92.0,Manchester,ENG
94,AZ Alkmaar,50.0,Alkmaar,NED,Arsenal,68.0,London,ENG
95,AZ Alkmaar,50.0,Alkmaar,NED,Salzburg,50.0,Salzburg,AUT
96,AZ Alkmaar,50.0,Alkmaar,NED,Monaco,24.0,Monaco,FRA
97,Braga,49.0,Braga,POR,Roma,91.0,Rome,ITA
98,Braga,49.0,Braga,POR,West Ham,65.0,London,ENG
99,Braga,49.0,Braga,POR,Crvena zvezda,40.0,Belgrade,SRB
100,Braga,49.0,Braga,POR,Čukarički,8.0,Belgrade,SRB
101,Lyon,44.0,Lyon,FRA,Barcelona,85.0,Barcelona,ESP
102,Lyon,44.0,Lyon,FRA,Eintracht Frankfurt,60.0,Frankfurt,GER
103,Lyon,44.0,Lyon,FRA,Braga,49.0,Braga,POR
104,Lyon,44.0,Lyon,FRA,Lugano,8.0,Lugano,SUI
105,Crvena zvezda,40.0,Belgrade,SRB,Sevilla,84.0,Seville,ESP
106,Crvena zvezda,40.0,Belgrade,SRB,Feyenoord,57.0,Rotterdam,NED
107,Crvena zvezda,40.0,Belgrade,SRB,Lyon,44.0,Lyon,FRA
108,Crvena zvezda,40.0,Belgrade,SRB,Nice,17.0,Nice,FRA
109,Ferencváros,35.0,Budapest,HUN,Real Madrid,123.0,Madrid,ESP
110,Ferencváros,35.0,Budapest,HUN,Atlético de Madrid,84.0,Madrid,ESP
111,Ferencváros,35.0,Budapest,HUN,Club Brugge,56.0,Bruges,BEL
112,Ferencváros,35.0,Budapest,HUN,Galatasaray,31.5,Istanbul,TUR
113,Celtic,32.0,Glasgow,SCO,Paris Saint-Germain,108.0,Paris,FRA
114,Celtic,32.0,Glasgow,SCO,Juventus,80.0,Turin,ITA
115,Celtic,32.0,Glasgow,SCO,Tottenham Hotspur,54.0,London,ENG
116,Celtic,32.0,Glasgow,SCO,Ferencváros,35.0,Budapest,HUN
117,Galatasaray,31.5,Istanbul,TUR,Liverpool,107.0,Liverpool,ENG
118,Galatasaray,31.5,Istanbul,TUR,Villarreal,80.0,Villarreal,ESP
119,Galatasaray,31.5,Istanbul,TUR,AC Milan,53.0,Milan,ITA
120,Galatasaray,31.5,Istanbul,TUR,Celtic,32.0,Glasgow,SCO
121,Dynamo Kyiv,26.5,Bucharest,UKR,Inter,99.0,Milan,ITA
