run,average_distance_travelled_per_team,average_distance_travelled_per_game,total_distance_travelled,longest_distance_travelled_by_a_team,fixture_with_longest_distance
4632,5643,1278,203152,Fenerbahçe - 10019,Bodø/Glimt (bodø) v Sevilla (seville) - 3562.0
4633,4773,1076,171841,Olympiacos - 8222,Linfield (belfast) v Olympiacos (piraeus) - 2895.0
4634,5075,1144,182697,Galatasaray - 11488,Rangers (glasgow) v Galatasaray (istanbul) - 2912.0
4635,5645,1278,203211,Qarabağ - 13694,Qarabağ (baku) v Benfica (lisbon) - 4968.0
4636,4798,1093,172728,Galatasaray - 9805,Rangers (glasgow) v Galatasaray (istanbul) - 2912.0
4637,5582,1275,200949,Galatasaray - 10758,Sevilla (seville) v Bodø/Glimt (bodø) - 3562.0
4638,5806,1319,209032,Víkingur Reykjavík - 11080,Crvena zvezda (belgrade) v Víkingur Reykjavík (reykjavík) - 3374.0
4639,6126,1387,220533,Maccabi Haifa - 12063,Maccabi Haifa (haifa) v Manchester United (manchester) - 3728.0
4640,5732,1297,206358,H. Beer Sheva - 12885,H. Beer Sheva (beer sheva) v Manchester City (manchester) - 3848.0
4641,5680,1304,204465,Qarabağ - 15458,Qarabağ (baku) v Braga (braga) - 4804.0
4642,5399,1225,194348,Qarabağ - 13465,Qarabağ (baku) v Sporting CP (lisbon) - 4968.0
4643,5491,1255,197684,H. Beer Sheva - 13700,Braga (braga) v H. Beer Sheva (beer sheva) - 3989.0
4644,5387,1217,193940,Fenerbahçe - 10513,Fenerbahçe (istanbul) v Benfica (lisbon) - 3237.0
4645,5356,1227,192832,Pyunik - 12911,Pyunik (yerevan) v Manchester City (manchester) - 3769.0
4646,5585,1274,201069,Fenerbahçe - 9465,Fenerbahçe (istanbul) v Benfica (lisbon) - 3237.0
4647,5115,1160,184143,KÍ Klaksvík - 8623,Benfica (lisbon) v HJK (helsinki) - 3360.0
4648,5896,1335,212243,Bodø/Glimt - 9333,Bodø/Glimt (bodø) v Lincoln Red Imps (gibraltar) - 3682.0
4649,5262,1197,189445,APOEL - 12266,Benfica (lisbon) v APOEL (nicosia) - 3765.0
4650,5102,1152,183655,Fenerbahçe - 11587,Olympiacos (piraeus) v Rangers (glasgow) - 2872.0
4651,5265,1178,189523,Qarabağ - 15020,FC Porto (porto) v Qarabağ (baku) - 4831.0
4652,5343,1200,192343,Bodø/Glimt - 12914,Real Betis (seville) v Bodø/Glimt (bodø) - 3562.0
4653,5705,1294,205380,APOEL - 11432,APOEL (nicosia) v Liverpool (liverpool) - 3475.0
4654,5167,1176,185997,Ludogorets - 8917,Sevilla (seville) v Ludogorets (razgrad) - 2814.0
4655,5640,1267,203045,Qarabağ - 20822,FC Porto (porto) v Qarabağ (baku) - 4831.0
4656,5616,1263,202180,Galatasaray - 10789,Bodø/Glimt (bodø) v Sporting CP (lisbon) - 3495.0
4657,6136,1380,220898,Qarabağ - 20201,Sevilla (seville) v Qarabağ (baku) - 4767.0
4658,5485,1236,197476,Bodø/Glimt - 10633,Benfica (lisbon) v Bodø/Glimt (bodø) - 3495.0
4659,5254,1198,189145,Pyunik - 13759,Pyunik (yerevan) v FC Porto (porto) - 4411.0
4660,5321,1197,191548,Maccabi Haifa - 16097,FC Porto (porto) v Maccabi Haifa (haifa) - 3940.0
4661,6204,1400,223360,Qarabağ - 16357,Sevilla (seville) v Qarabağ (baku) - 4767.0
4662,5674,1279,204282,Real Betis - 11617,Benfica (lisbon) v Sheriff (tiraspol) - 3264.0
4663,5169,1171,186097,Dynamo Kyiv - 9679,Galatasaray (istanbul) v Real Betis (seville) - 3019.0
4664,5925,1338,213306,H. Beer Sheva - 13221,Rangers (glasgow) v H. Beer Sheva (beer sheva) - 4078.0
4665,5722,1279,205989,H. Beer Sheva - 13922,H. Beer Sheva (beer sheva) v Celtic (glasgow) - 4078.0
4666,5472,1250,196979,Olympiacos - 9753,Olympiacos (piraeus) v Benfica (lisbon) - 2849.0
4667,5989,1364,215593,H. Beer Sheva - 17190,H. Beer Sheva (beer sheva) v Newcastle (newcastle upon tyne) - 3886.0
4668,5620,1277,202313,Sporting CP - 12011,Sheriff (tiraspol) v Sporting CP (lisbon) - 3264.0
4669,5446,1238,196073,Galatasaray - 8705,Galatasaray (istanbul) v Rangers (glasgow) - 2912.0
4670,4886,1104,175885,Rangers - 7845,Sevilla (seville) v FCSB (bucharest) - 2788.0
4671,5629,1280,202651,Qarabağ - 15819,Qarabağ (baku) v FC Porto (porto) - 4831.0
4672,5423,1237,195222,AEK Larnaca - 13200,AEK Larnaca (larnaca) v Rangers (glasgow) - 3690.0
4673,5277,1191,189964,Pyunik - 12469,Pyunik (yerevan) v Braga (braga) - 4385.0
4674,5310,1202,191168,Real Madrid - 9051,Galatasaray (istanbul) v Aberdeen (aberdeen) - 2846.0
