replicate,match,home_team,home_team_coefficient,home_team_city,home_team_association,away_team,away_team_coefficient,away_team_city,away_team_association,distance
1,68,Eintracht Frankfurt,57.0,Frankfurt,GER,Arsenal,58.0,London,ENG,638.0
1,69,Feyenoord,57.0,Rotterdam,NED,Lens,11.266,Lens,FRA,202.0
1,70,Feyenoord,57.0,Rotterdam,NED,Slavia Praha,42.0,Prague,CZE,726.0
1,71,Feyenoord,57.0,Rotterdam,NED,Eintracht Frankfurt,57.0,Frankfurt,GER,356.0
1,72,Feyenoord,57.0,Rotterdam,NED,Roma,86.0,Rome,ITA,1268.0
1,73,Rangers,52.0,Glasgow,SCO,Qarabağ,26.0,Baku,AZE,4240.0
1,74,Rangers,52.0,Glasgow,SCO,Roma,86.0,Rome,ITA,1966.0
1,75,Rangers,52.0,Glasgow,SCO,Barcelona,78.0,Barcelona,ESP,1676.0
1,76,Rangers,52.0,Glasgow,SCO,Rennes,37.0,Rennes,FRA,879.0
1,77,Braga,48.0,Braga,POR,Borussia Dortmund,75.0,Dortmund,GER,1640.0
1,78,Braga,48.0,Braga,POR,AZ Alkmaar,48.0,Alkmaar,NED,1582.0
1,79,Braga,48.0,Braga,POR,Sevilla,84.0,Seville,ESP,508.0
1,80,Braga,48.0,Braga,POR,Fiorentina,24.0,Florence,ITA,1626.0
1,81,AZ Alkmaar,48.0,Alkmaar,NED,Juventus,80.0,Turin,ITA,868.0
1,82,AZ Alkmaar,48.0,Alkmaar,NED,Rangers,52.0,Glasgow,SCO,686.0
1,83,AZ Alkmaar,48.0,Alkmaar,NED,Linfield,10.0,Belfast,NIR,737.0
1,84,AZ Alkmaar,48.0,Alkmaar,NED,Manchester City,130.0,Manchester,ENG,477.0
1,85,PSV,43.0,Eindhoven,NED,Arsenal,58.0,London,ENG,388.0
1,86,PSV,43.0,Eindhoven,NED,LASK,34.0,Linz,AUT,720.0
1,87,PSV,43.0,Eindhoven,NED,Aberdeen,7.5,Aberdeen,SCO,801.0
1,88,PSV,43.0,Eindhoven,NED,Manchester United,91.0,Manchester,ENG,569.0
1,89,Slavia Praha,42.0,Prague,CZE,Villarreal,68.0,Villarreal,ESP,1597.0
1,90,Slavia Praha,42.0,Prague,CZE,Braga,48.0,Braga,POR,2000.0
1,91,Slavia Praha,42.0,Prague,CZE,Lens,11.266,Lens,FRA,826.0
1,92,Slavia Praha,42.0,Prague,CZE,Bayern,126.0,Munich,GER,300.0
1,93,Crvena zvezda,40.0,Belgrade,SRB,Marseille,34.0,Marseille,FRA,1215.0
1,94,Crvena zvezda,40.0,Belgrade,SRB,Real Betis,31.0,Seville,ESP,2350.0
1,95,Crvena zvezda,40.0,Belgrade,SRB,Napoli,71.0,Naples,ITA,667.0
1,96,Crvena zvezda,40.0,Belgrade,SRB,Inter,90.0,Milan,ITA,886.0
1,97,Rennes,37.0,Rennes,FRA,Crvena zvezda,40.0,Belgrade,SRB,1729.0
1,98,Rennes,37.0,Rennes,FRA,Feyenoord,57.0,Rotterdam,NED,610.0
1,99,Rennes,37.0,Rennes,FRA,Young Boys,32.5,Bern,SUI,697.0
1,100,Rennes,37.0,Rennes,FRA,Chelsea,96.0,London,ENG,393.0
1,101,LASK,34.0,Linz,AUT,Liverpool,100.0,Liverpool,ENG,1335.0
1,102,LASK,34.0,Linz,AUT,Genk,13.0,Genk,BEL,696.0
1,103,LASK,34.0,Linz,AUT,Bayer 04 Leverkusen,67.0,Leverkusen,GER,606.0
1,104,LASK,34.0,Linz,AUT,Slavia Praha,42.0,Prague,CZE,197.0
1,105,Marseille,34.0,Marseille,FRA,Bodø/Glimt,24.5,Bodø,NOR,2721.0
1,106,Marseille,34.0,Marseille,FRA,Eintracht Frankfurt,57.0,Frankfurt,GER,799.0
1,107,Marseille,34.0,Marseille,FRA,Real Madrid,112.0,Madrid,ESP,816.0
1,108,Marseille,34.0,Marseille,FRA,PSV,43.0,Eindhoven,NED,906.0
1,109,Young Boys,32.5,Bern,SUI,PSV,43.0,Eindhoven,NED,520.0
1,110,Young Boys,32.5,Bern,SUI,Fiorentina,24.0,Florence,ITA,462.0
1,111,Young Boys,32.5,Bern,SUI,Arsenal,58.0,London,ENG,747.0
1,112,Young Boys,32.5,Bern,SUI,Manchester City,130.0,Manchester,ENG,1000.0
1,113,Real Betis,31.0,Seville,ESP,Young Boys,32.5,Bern,SUI,1531.0
1,114,Real Betis,31.0,Seville,ESP,AZ Alkmaar,48.0,Alkmaar,NED,1889.0
1,115,Real Betis,31.0,Seville,ESP,Roma,86.0,Rome,ITA,1656.0
1,116,Real Betis,31.0,Seville,ESP,Eintracht Frankfurt,57.0,Frankfurt,GER,1834.0
1,117,Qarabağ,26.0,Baku,AZE,Linfield,10.0,Belfast,NIR,4349.0
1,118,Qarabağ,26.0,Baku,AZE,Chelsea,96.0,London,ENG,3974.0
1,119,Qarabağ,26.0,Baku,AZE,Slavia Praha,42.0,Prague,CZE,2945.0
