rank,team_name,association,uefa_coefficient,city
1,FC Santa Coloma,AND,5.5,Santa Coloma
2,Inter Club d'Escaldes,AND,6.0,Andorra la Vella
3,Atlètic Club d'Escaldes,AND,2.5,Andorra la Vella
