rank,team_name,association,uefa_coefficient,city
1,Barcelona,ESP,78.0,Barcelona
2,Sevilla,ESP,84.0,Seville
3,Real Betis,ESP,31.0,Seville
4,Villarreal,ESP,68.0,Villarreal
5,Atlético de Madrid,ESP,73.0,Madrid
6,Real Sociedad,ESP,42.0,San Sebastián
7,Real Madrid,ESP,112.0,Madrid
8,Osasuna,ESP,15.922,Pamplona
