rank,team_name,association,uefa_coefficient,city
1,Club Brugge,BEL,48.0,Bruges
2,Union SG,BEL,22.0,Brussels
3,Genk,BEL,13.0,Genk
4,Antwerp,BEL,21.0,Antwerp
