rank,team_name,association,uefa_coefficient,city
1,Monaco,FRA,24.0,Monaco
2,Paris Saint-Germain,FRA,101.0,Paris
3,Rennes,FRA,37.0,Rennes
4,Marseille,FRA,34.0,Marseille
5,Lyon,FRA,44.0,Lyon
6,Nice,FRA,17.0,Nice
7,Lille,FRA,35.0,Lille
8,Lens,FRA,11.266,Lens
