rank,team_name,association,uefa_coefficient,city
1,TSC Bačka Topola,SRB,5.555,Bačka Topola
2,Partizan,SRB,25.5,Belgrade
3,Crvena zvezda,SRB,40.0,Belgrade
4,Čukarički,SRB,5.555,Belgrade
