rank,team_name,association,uefa_coefficient,city
1,Arsenal,ENG,58.0,London
2,Tottenham Hotspur,ENG,54.0,London
3,Chelsea,ENG,96.0,London
4,West Ham,ENG,54.0,London
5,Liverpool,ENG,100.0,Liverpool
6,Manchester City,ENG,130.0,Manchester
7,Brighton,ENG,18.635,Brighton
8,Manchester United,ENG,91.0,Manchester
9,Aston Villa,ENG,18.635,Birmingham
10,Newcastle,ENG,18.635,Newcastle upon Tyne
