rank,team_name,association,uefa_coefficient,city
1,PSV,NED,43.0,Eindhoven
2,Ajax,NED,64.0,Amsterdam
3,Twente,NED,11.42,Enschede
4,AZ Alkmaar,NED,48.0,Alkmaar
5,Feyenoord,NED,57.0,Rotterdam
