rank,team_name,association,uefa_coefficient,city
1,Lazio,ITA,43.0,Rome
2,Inter,ITA,90.0,Milan
3,AC Milan,ITA,49.0,Milan
4,Juventus,ITA,80.0,Turin
5,Napoli,ITA,71.0,Naples
6,Atalanta,ITA,58.0,Bergamo
7,Fiorentina,ITA,24.0,Florence
8,Roma,ITA,86.0,Rome
9,Torino,ITA,15.171,Turin
