rank,team_name,association,uefa_coefficient,city
1,Beşiktaş,TUR,10.0,Istanbul
2,Fenerbahçe,TUR,28.0,Istanbul
3,Adana Demirspor,TUR,7.07,Adana
4,Galatasaray,TUR,30.5,Istanbul
