home_team,home_team_city,away_team,away_team_city,group,distance
Manchester City,manchester,Paris Saint-Germain,paris,A,606.0
Manchester City,manchester,RB Leipzig,leipzig,A,1018.0
Manchester City,manchester,Club Brugge,bruges,A,449.0
Paris Saint-Germain,paris,Manchester City,manchester,A,606.0
Paris Saint-Germain,paris,RB Leipzig,leipzig,A,767.0
Paris Saint-Germain,paris,Club Brugge,bruges,A,269.0
RB Leipzig,leipzig,Manchester City,manchester,A,1018.0
RB Leipzig,leipzig,Paris Saint-Germain,paris,A,767.0
RB Leipzig,leipzig,Club Brugge,bruges,A,637.0
Club Brugge,bruges,Manchester City,manchester,A,449.0
Club Brugge,bruges,Paris Saint-Germain,paris,A,269.0
Club Brugge,bruges,RB Leipzig,leipzig,A,637.0
Liverpool,liverpool,Atlético de Madrid,madrid,B,1446.0
Liverpool,liverpool,FC Porto,porto,B,1426.0
Liverpool,liverpool,AC Milan,milan,B,1245.0
Atlético de Madrid,madrid,Liverpool,liverpool,B,1446.0
Atlético de Madrid,madrid,FC Porto,porto,B,421.0
Atlético de Madrid,madrid,AC Milan,milan,B,1188.0
FC Porto,porto,Liverpool,liverpool,B,1426.0
FC Porto,porto,Atlético de Madrid,madrid,B,421.0
FC Porto,porto,AC Milan,milan,B,1514.0
AC Milan,milan,Liverpool,liverpool,B,1245.0
AC Milan,milan,Atlético de Madrid,madrid,B,1188.0
AC Milan,milan,FC Porto,porto,B,1514.0
Ajax,amsterdam,Sporting CP,lisbon,C,1863.0
Ajax,amsterdam,Borussia Dortmund,dortmund,C,200.0
Ajax,amsterdam,Beşiktaş,istanbul,C,2212.0
Sporting CP,lisbon,Ajax,amsterdam,C,1863.0
Sporting CP,lisbon,Borussia Dortmund,dortmund,C,1920.0
Sporting CP,lisbon,Beşiktaş,istanbul,C,3237.0
Borussia Dortmund,dortmund,Ajax,amsterdam,C,200.0
Borussia Dortmund,dortmund,Sporting CP,lisbon,C,1920.0
Borussia Dortmund,dortmund,Beşiktaş,istanbul,C,2012.0
Beşiktaş,istanbul,Ajax,amsterdam,C,2212.0
Beşiktaş,istanbul,Sporting CP,lisbon,C,3237.0
