match,home_team,home_team_coefficient,home_team_city,home_team_association,away_team,away_team_coefficient,away_team_city,away_team_association,result
72,Club Brugge,56.0,Bruges,BEL,Celtic,32.0,Glasgow,SCO,A
73,PSV,53.0,Eindhoven,NED,Sevilla,84.0,Seville,ESP,T
74,PSV,53.0,Eindhoven,NED,Club Brugge,56.0,Bruges,BEL,H
75,PSV,53.0,Eindhoven,NED,Rennes,43.0,Rennes,FRA,A
76,PSV,53.0,Eindhoven,NED,H. Beer Sheva,17.0,Beer Sheva,ISR,H
77,Sporting CP,52.5,Lisbon,POR,Barcelona,85.0,Barcelona,ESP,A
78,Sporting CP,52.5,Lisbon,POR,Feyenoord,57.0,Rotterdam,NED,H
79,Sporting CP,52.5,Lisbon,POR,Ferencváros,35.0,Budapest,HUN,A
80,Sporting CP,52.5,Lisbon,POR,Luzern,6.355,Luzern,SUI,H
81,Copenhagen,51.5,Copenhagen,DEN,Manchester United,92.0,Manchester,ENG,H
82,Copenhagen,51.5,Copenhagen,DEN,Eintracht Frankfurt,60.0,Frankfurt,GER,A
83,Copenhagen,51.5,Copenhagen,DEN,Crvena zvezda,40.0,Belgrade,SRB,H
84,Copenhagen,51.5,Copenhagen,DEN,Nice,17.0,Nice,FRA,A
85,AZ Alkmaar,50.0,Alkmaar,NED,RB Leipzig,96.0,Leipzig,GER,H
86,AZ Alkmaar,50.0,Alkmaar,NED,Arsenal,68.0,London,ENG,A
87,AZ Alkmaar,50.0,Alkmaar,NED,Salzburg,50.0,Salzburg,AUT,A
88,AZ Alkmaar,50.0,Alkmaar,NED,VfL Wolfsburg,22.5,Wolfsburg,GER,H
89,Salzburg,50.0,Salzburg,AUT,Chelsea,96.0,London,ENG,T
90,Salzburg,50.0,Salzburg,AUT,Atalanta,68.0,Bergamo,ITA,T
91,Salzburg,50.0,Salzburg,AUT,Lyon,44.0,Lyon,FRA,A
92,Salzburg,50.0,Salzburg,AUT,Osasuna,17.222,Pamplona,ESP,A
93,Lyon,44.0,Lyon,FRA,Liverpool,107.0,Liverpool,ENG,A
94,Lyon,44.0,Lyon,FRA,FC Porto,75.0,Porto,POR,H
95,Lyon,44.0,Lyon,FRA,AZ Alkmaar,50.0,Alkmaar,NED,H
96,Lyon,44.0,Lyon,FRA,Bodø/Glimt,29.5,Bodø,NOR,H
97,Rennes,43.0,Rennes,FRA,Real Madrid,123.0,Madrid,ESP,H
98,Rennes,43.0,Rennes,FRA,Bayer 04 Leverkusen,78.0,Leverkusen,GER,H
