match,home_team,home_team_coefficient,home_team_city,home_team_association,away_team,away_team_coefficient,away_team_city,away_team_association
74,Sporting CP,45.5,Lisbon,POR,Rennes,37.0,Rennes,FRA
75,Sporting CP,45.5,Lisbon,POR,Marseille,34.0,Marseille,FRA
76,Sporting CP,45.5,Lisbon,POR,Manchester City,130.0,Manchester,ENG
77,Lyon,44.0,Lyon,FRA,Juventus,80.0,Turin,ITA
78,Lyon,44.0,Lyon,FRA,Galatasaray,30.5,Istanbul,TUR
79,Lyon,44.0,Lyon,FRA,Crvena zvezda,40.0,Belgrade,SRB
80,Lyon,44.0,Lyon,FRA,Arsenal,58.0,London,ENG
81,Slavia Praha,42.0,Prague,CZE,Antwerp,21.0,Antwerp,BEL
82,Slavia Praha,42.0,Prague,CZE,AZ Alkmaar,48.0,Alkmaar,NED
83,Slavia Praha,42.0,Prague,CZE,Lille,35.0,Lille,FRA
84,Slavia Praha,42.0,Prague,CZE,Paris Saint-Germain,101.0,Paris,FRA
85,Real Sociedad,42.0,San Sebastián,ESP,Copenhagen,41.5,Copenhagen,DEN
86,Real Sociedad,42.0,San Sebastián,ESP,Hearts,6.53,Edinburgh,SCO
87,Real Sociedad,42.0,San Sebastián,ESP,Inter,90.0,Milan,ITA
88,Real Sociedad,42.0,San Sebastián,ESP,Atalanta,58.0,Bergamo,ITA
89,Copenhagen,41.5,Copenhagen,DEN,Villarreal,68.0,Villarreal,ESP
90,Copenhagen,41.5,Copenhagen,DEN,Sporting CP,45.5,Lisbon,POR
91,Copenhagen,41.5,Copenhagen,DEN,Newcastle,18.635,Newcastle upon Tyne,ENG
92,Copenhagen,41.5,Copenhagen,DEN,Sevilla,84.0,Seville,ESP
93,Crvena zvezda,40.0,Belgrade,SRB,Slavia Praha,42.0,Prague,CZE
94,Crvena zvezda,40.0,Belgrade,SRB,Mönchengladbach,21.0,Mönchengladbach,GER
95,Crvena zvezda,40.0,Belgrade,SRB,Bayer 04 Leverkusen,67.0,Leverkusen,GER
96,Crvena zvezda,40.0,Belgrade,SRB,Manchester United,91.0,Manchester,ENG
97,Rennes,37.0,Rennes,FRA,RB Leipzig,87.0,Leipzig,GER
98,Rennes,37.0,Rennes,FRA,Rangers,52.0,Glasgow,SCO
99,Rennes,37.0,Rennes,FRA,Torino,15.171,Turin,ITA
100,Rennes,37.0,Rennes,FRA,LASK,34.0,Linz,AUT
101,Lille,35.0,Lille,FRA,Slovan Bratislava,26.5,Bratislava,SVK
102,Lille,35.0,Lille,FRA,Real Sociedad,42.0,San Sebastián,ESP
103,Lille,35.0,Lille,FRA,Atlético de Madrid,73.0,Madrid,ESP
104,Lille,35.0,Lille,FRA,Borussia Dortmund,75.0,Dortmund,GER
105,LASK,34.0,Linz,AUT,Real Madrid,112.0,Madrid,ESP
106,LASK,34.0,Linz,AUT,Qarabağ,26.0,Baku,AZE
107,LASK,34.0,Linz,AUT,Tottenham Hotspur,54.0,London,ENG
108,LASK,34.0,Linz,AUT,Lyon,44.0,Lyon,FRA
109,Marseille,34.0,Marseille,FRA,Inter,90.0,Milan,ITA
110,Marseille,34.0,Marseille,FRA,Galatasaray,30.5,Istanbul,TUR
111,Marseille,34.0,Marseille,FRA,Copenhagen,41.5,Copenhagen,DEN
112,Marseille,34.0,Marseille,FRA,Atlético de Madrid,73.0,Madrid,ESP
113,Galatasaray,30.5,Istanbul,TUR,Manchester United,91.0,Manchester,ENG
114,Galatasaray,30.5,Istanbul,TUR,Rennes,37.0,Rennes,FRA
115,Galatasaray,30.5,Istanbul,TUR,Hearts,6.53,Edinburgh,SCO
116,Galatasaray,30.5,Istanbul,TUR,AZ Alkmaar,48.0,Alkmaar,NED
117,Slovan Bratislava,26.5,Bratislava,SVK,Mönchengladbach,21.0,Mönchengladbach,GER
118,Slovan Bratislava,26.5,Bratislava,SVK,Slavia Praha,42.0,Prague,CZE
119,Slovan Bratislava,26.5,Bratislava,SVK,Paris Saint-Germain,101.0,Paris,FRA
120,Slovan Bratislava,26.5,Bratislava,SVK,Villarreal,68.0,Villarreal,ESP
121,Qarabağ,26.0,Baku,AZE,Lyon,44.0,Lyon,FRA
122,Qarabağ,26.0,Baku,AZE,Tottenham Hotspur,54.0,London,ENG
123,Qarabağ,26.0,Baku,AZE,Real Madrid,112.0,Madrid,ESP
124,Qarabağ,26.0,Baku,AZE,Newcastle,18.635,Newcastle upon Tyne,ENG
125,Mönchengladbach,21.0,Mönchengladbach,GER,Real Sociedad,42.0,San Sebastián,ESP
126,Mönchengladbach,21.0,Mönchengladbach,GER,Atalanta,58.0,Bergamo,ITA
127,Mönchengladbach,21.0,Mönchengladbach,GER,Torino,15.171,Turin,ITA
128,Mönchengladbach,21.0,Mönchengladbach,GER,Sevilla,84.0,Seville,ESP
129,Antwerp,21.0,Antwerp,BEL,Crvena zvezda,40.0,Belgrade,SRB
130,Antwerp,21.0,Antwerp,BEL,Juventus,80.0,Turin,ITA
131,Antwerp,21.0,Antwerp,BEL,Slovan Bratislava,26.5,Bratislava,SVK
132,Antwerp,21.0,Antwerp,BEL,Rangers,52.0,Glasgow,SCO
133,Newcastle,18.635,Newcastle upon Tyne,ENG,Sporting CP,45.5,Lisbon,POR
134,Newcastle,18.635,Newcastle upon Tyne,ENG,RB Leipzig,87.0,Leipzig,GER
135,Newcastle,18.635,Newcastle upon Tyne,ENG,Bayer 04 Leverkusen,67.0,Leverkusen,GER
136,Newcastle,18.635,Newcastle upon Tyne,ENG,Antwerp,21.0,Antwerp,BEL
137,Torino,15.171,Turin,ITA,Arsenal,58.0,London,ENG
138,Torino,15.171,Turin,ITA,LASK,34.0,Linz,AUT
139,Torino,15.171,Turin,ITA,Marseille,34.0,Marseille,FRA
140,Torino,15.171,Turin,ITA,Manchester City,130.0,Manchester,ENG
141,Hearts,6.53,Edinburgh,SCO,Qarabağ,26.0,Baku,AZE
142,Hearts,6.53,Edinburgh,SCO,Feyenoord,57.0,Rotterdam,NED
143,Hearts,6.53,Edinburgh,SCO,Borussia Dortmund,75.0,Dortmund,GER
144,Hearts,6.53,Edinburgh,SCO,RB Leipzig,87.0,Leipzig,GER
