match,home_team,home_team_coefficient,home_team_city,home_team_association,away_team,away_team_coefficient,away_team_city,away_team_association,distance
68,AZ Alkmaar,48.0,Alkmaar,NED,Sporting CP,45.5,Lisbon,POR,1879.0
69,Sporting CP,45.5,Lisbon,POR,H. Beer Sheva,17.0,Beer Sheva,ISR,4047.0
70,Sporting CP,45.5,Lisbon,POR,Rangers,52.0,Glasgow,SCO,1940.0
71,Sporting CP,45.5,Lisbon,POR,Real Betis,31.0,Seville,ESP,313.0
72,Sporting CP,45.5,Lisbon,POR,Real Madrid,112.0,Madrid,ESP,502.0
73,Lyon,44.0,Lyon,FRA,Liverpool,100.0,Liverpool,ENG,1019.0
74,Lyon,44.0,Lyon,FRA,Mönchengladbach,21.0,Mönchengladbach,GER,610.0
75,Lyon,44.0,Lyon,FRA,Rangers,52.0,Glasgow,SCO,1289.0
76,Lyon,44.0,Lyon,FRA,VfL Wolfsburg,22.5,Wolfsburg,GER,857.0
77,Lazio,43.0,Rome,ITA,Real Betis,31.0,Seville,ESP,1656.0
78,Lazio,43.0,Rome,ITA,Víkingur Reykjavík,4.0,Reykjavík,ISL,3295.0
79,Lazio,43.0,Rome,ITA,Paris Saint-Germain,101.0,Paris,FRA,1105.0
80,Lazio,43.0,Rome,ITA,Villarreal,68.0,Villarreal,ESP,1079.0
81,Crvena zvezda,40.0,Belgrade,SRB,Napoli,71.0,Naples,ITA,667.0
82,Crvena zvezda,40.0,Belgrade,SRB,Manchester City,130.0,Manchester,ENG,1901.0
83,Crvena zvezda,40.0,Belgrade,SRB,Rennes,37.0,Rennes,FRA,1729.0
84,Crvena zvezda,40.0,Belgrade,SRB,Pyunik,9.5,Yerevan,ARM,2030.0
85,Rennes,37.0,Rennes,FRA,Rapid Wien,14.0,Vienna,AUT,1336.0
86,Rennes,37.0,Rennes,FRA,Sevilla,84.0,Seville,ESP,1243.0
87,Rennes,37.0,Rennes,FRA,Sporting CP,45.5,Lisbon,POR,1205.0
88,Rennes,37.0,Rennes,FRA,Lazio,43.0,Rome,ITA,1308.0
89,Marseille,34.0,Marseille,FRA,Aston Villa,18.635,Birmingham,ENG,1146.0
90,Marseille,34.0,Marseille,FRA,Celtic,30.0,Glasgow,SCO,1556.0
91,Marseille,34.0,Marseille,FRA,Juventus,80.0,Turin,ITA,270.0
92,Marseille,34.0,Marseille,FRA,Club Brugge,48.0,Bruges,BEL,895.0
93,Real Betis,31.0,Seville,ESP,Ajax,64.0,Amsterdam,NED,1869.0
94,Real Betis,31.0,Seville,ESP,Crvena zvezda,40.0,Belgrade,SRB,2350.0
95,Real Betis,31.0,Seville,ESP,Union Berlin,21.0,Berlin,GER,2257.0
96,Real Betis,31.0,Seville,ESP,Manchester United,91.0,Manchester,ENG,1812.0
97,Celtic,30.0,Glasgow,SCO,Ordabasy,4.0,Shymkent,KAZ,5307.0
98,Celtic,30.0,Glasgow,SCO,AZ Alkmaar,48.0,Alkmaar,NED,686.0
99,Celtic,30.0,Glasgow,SCO,Real Madrid,112.0,Madrid,ESP,1718.0
100,Celtic,30.0,Glasgow,SCO,Lyon,44.0,Lyon,FRA,1289.0
101,Qarabağ,26.0,Baku,AZE,Newcastle,18.635,Newcastle upon Tyne,ENG,4072.0
102,Qarabağ,26.0,Baku,AZE,Roma,86.0,Rome,ITA,3111.0
103,Qarabağ,26.0,Baku,AZE,Borussia Dortmund,75.0,Dortmund,GER,3449.0
104,Qarabağ,26.0,Baku,AZE,Marseille,34.0,Marseille,FRA,3659.0
105,VfL Wolfsburg,22.5,Wolfsburg,GER,H. Beer Sheva,17.0,Beer Sheva,ISR,3052.0
106,VfL Wolfsburg,22.5,Wolfsburg,GER,Atlético de Madrid,73.0,Madrid,ESP,1730.0
107,VfL Wolfsburg,22.5,Wolfsburg,GER,Benfica,69.0,Lisbon,POR,2160.0
108,VfL Wolfsburg,22.5,Wolfsburg,GER,Qarabağ,26.0,Baku,AZE,3234.0
109,Mönchengladbach,21.0,Mönchengladbach,GER,Pyunik,9.5,Yerevan,ARM,3174.0
110,Mönchengladbach,21.0,Mönchengladbach,GER,Lazio,43.0,Rome,ITA,1138.0
111,Mönchengladbach,21.0,Mönchengladbach,GER,Club Brugge,48.0,Bruges,BEL,206.0
112,Mönchengladbach,21.0,Mönchengladbach,GER,Manchester United,91.0,Manchester,ENG,627.0
113,Union Berlin,21.0,Berlin,GER,Rapid Wien,14.0,Vienna,AUT,524.0
114,Union Berlin,21.0,Berlin,GER,Paris Saint-Germain,101.0,Paris,FRA,877.0
115,Union Berlin,21.0,Berlin,GER,Crvena zvezda,40.0,Belgrade,SRB,1003.0
116,Union Berlin,21.0,Berlin,GER,Ajax,64.0,Amsterdam,NED,576.0
117,Aston Villa,18.635,Birmingham,ENG,Borussia Dortmund,75.0,Dortmund,GER,631.0
118,Aston Villa,18.635,Birmingham,ENG,Celtic,30.0,Glasgow,SCO,412.0
119,Aston Villa,18.635,Birmingham,ENG,Víkingur Reykjavík,4.0,Reykjavík,ISL,1736.0
120,Aston Villa,18.635,Birmingham,ENG,Juventus,80.0,Turin,ITA,1068.0
121,Newcastle,18.635,Newcastle upon Tyne,ENG,Mönchengladbach,21.0,Mönchengladbach,GER,672.0
122,Newcastle,18.635,Newcastle upon Tyne,ENG,Marseille,34.0,Marseille,FRA,1396.0
123,Newcastle,18.635,Newcastle upon Tyne,ENG,AZ Alkmaar,48.0,Alkmaar,NED,495.0
124,Newcastle,18.635,Newcastle upon Tyne,ENG,Roma,86.0,Rome,ITA,1783.0
125,H. Beer Sheva,17.0,Beer Sheva,ISR,Villarreal,68.0,Villarreal,ESP,3275.0
126,H. Beer Sheva,17.0,Beer Sheva,ISR,Qarabağ,26.0,Baku,AZE,1695.0
127,H. Beer Sheva,17.0,Beer Sheva,ISR,Atlético de Madrid,73.0,Madrid,ESP,3585.0
128,H. Beer Sheva,17.0,Beer Sheva,ISR,Newcastle,18.635,Newcastle upon Tyne,ENG,3886.0
129,Rapid Wien,14.0,Vienna,AUT,VfL Wolfsburg,22.5,Wolfsburg,GER,614.0
130,Rapid Wien,14.0,Vienna,AUT,Liverpool,100.0,Liverpool,ENG,1473.0
131,Rapid Wien,14.0,Vienna,AUT,H. Beer Sheva,17.0,Beer Sheva,ISR,2443.0
132,Rapid Wien,14.0,Vienna,AUT,Sporting CP,45.5,Lisbon,POR,2298.0
133,Pyunik,9.5,Yerevan,ARM,Real Madrid,112.0,Madrid,ESP,4037.0
134,Pyunik,9.5,Yerevan,ARM,Union Berlin,21.0,Berlin,GER,2723.0
